"WB";"Indicator";"Period";"scenario";"Value";"Type";"Salinity";"Kvalitetselement";"Indikator";"IndikatorDesc";"Ref";"HG";"GM";"MP";"PB";"Worst";"EQR";"Status";"QEtype"
"0101030102-2-C";"Chl_summer";"2017-2019";"DIN100pc";0.873238821824392;"S2";20.4080816904704;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101030200-C";"Chl_summer";"2017-2019";"DIN100pc";1.74439382553101;"S3";12.9558982849121;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;0.795703335662386;"Good";"Bio"
"0101030400-C";"Chl_summer";"2017-2019";"DIN100pc";1.97727151711782;"S2";15.9988009134928;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;0.582323400400303;"Mod";"Bio"
"0101040100-C";"Chl_summer";"2017-2019";"DIN100pc";0.765677511692047;"S3";21.7547855377197;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101040300-3-C";"Chl_summer";"2017-2019";"DIN100pc";0.715050518512726;"S2";22.9239540100098;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101000030-1-C";"Chl_summer";"2017-2019";"DIP100pc";1.14058329164982;"S1";23.4465775092443;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.884166698730909;"High";"Bio"
"0101000030-2-C";"Chl_summer";"2017-2019";"DIP100pc";1.19669026467535;"S1";20.4892783694797;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.841007488711268;"High";"Bio"
"0101000031-C";"Chl_summer";"2017-2019";"DIP100pc";1.00452514489492;"S1";16.9584894180298;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.988826811619294;"High";"Bio"
"0101000032-3-C";"Chl_summer";"2017-2019";"DIP100pc";0.943170070648193;"S1";20.8231052398682;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;1;"High";"Bio"
"0101000032-4-C";"Chl_summer";"2017-2019";"DIP100pc";1.15548022588094;"S1";24.4038530985514;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.872707518553123;"High";"Bio"
"0101010301-C";"Chl_summer";"2017-2019";"DIP100pc";1.24745285511017;"S3";26.115686416626;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010401-C";"Chl_summer";"2017-2019";"DIP100pc";1.14365553855896;"S3";24.1055594852992;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010406-C";"Chl_summer";"2017-2019";"DIP100pc";1.14259022474289;"S3";25.6459484100342;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010408-C";"Chl_summer";"2017-2019";"DIP100pc";1.14622184634209;"S3";27.1785802841187;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010500-C";"Chl_summer";"2017-2019";"DIP100pc";1.16064262390137;"S1";22.2472705841064;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.868736443152795;"High";"Bio"
"0101020101-1-C";"Chl_summer";"2017-2019";"DIP100pc";0.836656510829926;"S2";21.1734554290771;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020101-2-C";"Chl_summer";"2017-2019";"DIP100pc";1.34218796094259;"S2";17.9952427546183;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;0.893228910587452;"High";"Bio"
"0101020200-1-C";"Chl_summer";"2017-2019";"DIP100pc";0.810804650187492;"S2";21.317111492157;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020200-2-C";"Chl_summer";"2017-2019";"DIP100pc";0.798071473836899;"S2";22.3444995880127;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020300-2-C";"Chl_summer";"2017-2019";"DIP100pc";0.732892473538717;"S2";22.669451713562;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020500-C";"Chl_summer";"2017-2019";"DIP100pc";0.678225725889206;"S3";21.4814767837524;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020601-C";"Chl_summer";"2017-2019";"DIP100pc";0.667793303728104;"S2";22.4822130203247;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020701-5-C";"Chl_summer";"2017-2019";"DIP100pc";0.577347564697266;"S3";21.6048976898193;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020702-2-C";"Chl_summer";"2017-2019";"DIP100pc";0.572834432125092;"S3";22.3713912963867;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020802-C";"Chl_summer";"2017-2019";"DIP100pc";0.565642565488815;"S3";19.8220729827881;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020900-C";"Chl_summer";"2017-2019";"DIP100pc";0.653050661087036;"S3";22.6121215820312;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101021000-2-C";"Chl_summer";"2017-2019";"DIP100pc";0.612004555761814;"S3";20.9340257644653;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101030102-2-C";"Chl_summer";"2017-2019";"DIP100pc";0.841077367464701;"S2";20.4080816904704;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101030200-C";"Chl_summer";"2017-2019";"DIP100pc";1.31104874610901;"S3";12.9558982849121;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101030400-C";"Chl_summer";"2017-2019";"DIP100pc";1.44606375694275;"S2";15.9988009134928;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;0.835520135031806;"High";"Bio"
"0101040100-C";"Chl_summer";"2017-2019";"DIP100pc";0.799971163272858;"S3";21.7547855377197;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101040300-3-C";"Chl_summer";"2017-2019";"DIP100pc";0.726973682641983;"S2";22.9239540100098;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101000030-1-C";"Chl_summer";"2017-2019";"DINP100pc";0.935098824401697;"S1";23.4465775092443;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;1;"High";"Bio"
"0101000030-2-C";"Chl_summer";"2017-2019";"DINP100pc";1.10244577129682;"S1";20.4892783694797;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.913503252848601;"High";"Bio"
"0101000031-C";"Chl_summer";"2017-2019";"DINP100pc";0.988254057036506;"S1";16.9584894180298;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;1;"High";"Bio"
"0101000032-3-C";"Chl_summer";"2017-2019";"DINP100pc";0.822723495960236;"S1";20.8231052398682;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;1;"High";"Bio"
"0101000032-4-C";"Chl_summer";"2017-2019";"DINP100pc";1.01059479514758;"S1";24.4038530985514;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.984157849886478;"High";"Bio"
"0101010301-C";"Chl_summer";"2017-2019";"DINP100pc";0.937969386577606;"S3";26.115686416626;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010401-C";"Chl_summer";"2017-2019";"DINP100pc";0.963197043963841;"S3";24.1055594852992;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010406-C";"Chl_summer";"2017-2019";"DINP100pc";0.997265994548798;"S3";25.6459484100342;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010408-C";"Chl_summer";"2017-2019";"DINP100pc";0.923386752605438;"S3";27.1785802841187;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101010500-C";"Chl_summer";"2017-2019";"DINP100pc";1.04953515529633;"S1";22.2472705841064;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.954203726695134;"High";"Bio"
"0101020101-1-C";"Chl_summer";"2017-2019";"DINP100pc";0.779191112518311;"S2";21.1734554290771;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020101-2-C";"Chl_summer";"2017-2019";"DINP100pc";1.27493660317527;"S2";17.9952427546183;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;0.930590776013739;"High";"Bio"
"0101020200-1-C";"Chl_summer";"2017-2019";"DINP100pc";0.786186203360558;"S2";21.317111492157;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020200-2-C";"Chl_summer";"2017-2019";"DINP100pc";0.742711842060089;"S2";22.3444995880127;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020300-2-C";"Chl_summer";"2017-2019";"DINP100pc";0.695940365393957;"S2";22.669451713562;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020500-C";"Chl_summer";"2017-2019";"DINP100pc";0.663523644208908;"S3";21.4814767837524;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020601-C";"Chl_summer";"2017-2019";"DINP100pc";0.692602246999741;"S2";22.4822130203247;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101020701-5-C";"Chl_summer";"2017-2019";"DINP100pc";0.603426492214203;"S3";21.6048976898193;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020702-2-C";"Chl_summer";"2017-2019";"DINP100pc";0.594216346740723;"S3";22.3713912963867;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020802-C";"Chl_summer";"2017-2019";"DINP100pc";0.582786947488785;"S3";19.8220729827881;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101020900-C";"Chl_summer";"2017-2019";"DINP100pc";0.655847817659378;"S3";22.6121215820312;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101021000-2-C";"Chl_summer";"2017-2019";"DINP100pc";0.622444629669189;"S3";20.9340257644653;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101030102-2-C";"Chl_summer";"2017-2019";"DINP100pc";0.837660670280457;"S2";20.4080816904704;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101030200-C";"Chl_summer";"2017-2019";"DINP100pc";1.31527078151703;"S3";12.9558982849121;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101030400-C";"Chl_summer";"2017-2019";"DINP100pc";1.45901767412821;"S2";15.9988009134928;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;0.828323514373214;"High";"Bio"
"0101040100-C";"Chl_summer";"2017-2019";"DINP100pc";0.740473806858063;"S3";21.7547855377197;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.37;1.73;2.4;4.03;5.96;8.81;1;"High";"Bio"
"0101040300-3-C";"Chl_summer";"2017-2019";"DINP100pc";0.692551881074905;"S2";22.9239540100098;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";1.15;1.51;1.85;3.29;6.05;11.13;1;"High";"Bio"
"0101000030-1-C";"Chl_summer";"2017-2019";"DINRA80-J10";1.31997116655111;"S1";23.4465775092443;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.756268020905554;"Good";"Bio"
"0101000030-2-C";"Chl_summer";"2017-2019";"DINRA80-J10";1.45670127868652;"S1";20.4892783694797;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.670811700820923;"Good";"Bio"
"0101000031-C";"Chl_summer";"2017-2019";"DINRA80-J10";1.1765000489023;"S1";16.9584894180298;"Planteplankton";"Klfa sommer";"Klorofyll a, sommer (µg/l)";0.99;1.25;1.57;3.19;5.5;9.48;0.856538423921308;"High";"Bio"
